2025-12-06 17:32:55.304 INFO  [Test worker] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable resources templates capabilities, notification: true
2025-12-06 17:32:55.305 INFO  [Test worker] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable prompts capabilities, notification: true
2025-12-06 17:32:55.306 INFO  [Test worker] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable completions capabilities
2025-12-06 17:32:55.601 INFO  [Test worker] c.example.demo.DemoApplicationTests - Started DemoApplicationTests in 1.434 seconds (process running for 2.618)
2025-12-31 11:42:36.357 INFO  [Test worker] o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.demo.DemoApplicationTests]: DemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2025-12-31 11:42:36.473 INFO  [Test worker] o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.demo.DemoApplication for test class com.example.demo.DemoApplicationTests
2025-12-31 11:42:36.822 INFO  [Test worker] c.example.demo.DemoApplicationTests - Starting DemoApplicationTests using Java 21.0.9 with PID 51744 (started by blueskii in D:\Work\spring-ai\출판\2판\소스\projects\ch12-mcp-server-stdio-filesystem)
2025-12-31 11:42:36.823 INFO  [Test worker] c.example.demo.DemoApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-12-31 11:42:37.440 WARN  [Test worker] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2025-12-31 11:42:37.441 WARN  [Test worker] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'serverAnnotatedBeanRegistry' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration$ServerMcpAnnotatedBeans] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2025-12-31 11:42:37.449 WARN  [Test worker] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.ai.mcp.server.annotation-scanner-org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerProperties' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2025-12-31 11:42:37.811 INFO  [Test worker] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable tools capabilities, notification: true
2025-12-31 11:42:37.813 INFO  [Test worker] o.s.a.m.s.c.a.McpServerAutoConfiguration - Registered tools: 6
2025-12-31 11:42:37.814 INFO  [Test worker] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable resources capabilities, notification: true
2025-12-31 11:42:37.815 INFO  [Test worker] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable resources templates capabilities, notification: true
2025-12-31 11:42:37.816 INFO  [Test worker] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable prompts capabilities, notification: true
2025-12-31 11:42:37.817 INFO  [Test worker] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable completions capabilities
2025-12-31 11:42:38.124 INFO  [Test worker] c.example.demo.DemoApplicationTests - Started DemoApplicationTests in 1.528 seconds (process running for 2.735)
